,sentiment,preprocess
36875,happiness,hey ty tip wifi network mani talent get bother lol
36876,neutral,oh happi mother day countri day mother day march nd
36877,love,say happi mother day mom
36878,love,
36879,love,hehe milki white skin dress silver spider silk crown snowflak
36880,happiness,fantast weekend hairdress stylish luncheon amp fabul girli night wine chees amp chocol danc morn
36881,worry,ur awesom think would sooo write back lil someth lt cross finger
36882,neutral,hi selena made team support greec cypru
36883,worry,whole follow actual peopl know write anymor
36884,surprise,great best wish great futur site
36885,happiness,thank ad
36886,happiness,lol know presid could comedian
36887,love,love mommi
36888,neutral,made new youtub background photoshop thank
36889,neutral,call custom tri enter wrong pw see result quot invalid user password quot
36890,love,happi mother day mom
36891,love,thx nice quot go alright quot mail ye cours leav comment blog cheer nap
36892,surprise,happi mum day nelli shout
36893,worry,lester guess yester day think someth cop out
36894,relief,good hear
36895,love,love guy stand behind
36896,sadness,spitta caught traffic around howlin wolf min wonder wth go musta nice
36897,love,haha love sissi ring power lol
36898,fun,best run skirt scene well
36899,neutral,call dirt go shower jk
36900,fun,think follow follow stalk pleas
36901,worry,walaikum assalam alhamdulillah chicago w may th would nice meat dua
36902,worry,yay tut trotzdem weh
36903,neutral,gee thank
36904,fun,sure would like cream right
36905,surprise,wut shot
36906,love,porridg nutmeg rasberri honey mmmm
36907,happiness,knew ju givin hard time hehe
36908,happiness,awesom think ever blog
36909,neutral,rat run steve irwin way avoid long delay bruce highway
36910,happiness,yay good final needa step next semest forsur tho distract
36911,happiness,nto milk deffo
36912,fun,listen music super junior korea like way sing danc hope someday meet
36913,worry,make shit happen pu
36914,neutral,problemo famili guy
36915,happiness,catch read twitter bf break
36916,neutral,fri plu greentea mmm
36917,happiness,ty friend ye ur right daughter daughter forev
36918,surprise,lol hiya all good superb day yesterday look well chuf
36919,happiness,dude pester armi personnel mumbai airport let hold much request leav
36920,love,nice bake spaggetti famili amp grandpar hous
36921,worry,got effi
36922,neutral,made breakfast today happi mother day
36923,love,interest girl much potenti mani way
36924,fun,white water raft tripic
36925,happiness,wow hugh jackman total bulk wolverin movi helloooo nurs dreeaami yup crush spirit mend
36926,neutral,use twitter account
36927,relief,thought peopl went hounslow gone wrong way know anyth
36928,worry,super stress day amp sleep glad found sweet time make stranger feel good
36929,love,happi mother day mum
36930,worry,hey thank x welcom must say love travel moment x
36931,worry,big hair rock day today think go start xxxxx
36932,hate,aliv less high feel sometim hate feel talk exhusband dead funni
36933,neutral,yep much play though instal voil work need fast connect
36934,relief,late late late
36935,relief,upload new song tellmetwic myspac today dollarosa gt gt pleas listen
36936,love,happi mother day
36937,enthusiasm,ironclad determin
36938,worry,lol said look canberra
36939,love,happi mother day
36940,neutral,yeah yeah yeah softshock
36941,fun,seventeen today trek chorleywood see cambridg lt
36942,neutral,wind night rode duc home b b q pop hous time pass soon adrenalin wear
36943,love,love mommi happi mother day
36944,neutral,enter giveaway use know could
36945,happiness,beer pong dubstep good nite
36946,worry,realli need turn swag time bed
36947,happiness,thank lyxxx
36948,neutral,good night thank
36949,love,ur realli sweetest person ever thank make everyon dream true p dream twitter back x
36950,love,love new tv
36951,fun,sanctuarysunday mission make sanctuari trend topic day lot peopl board join
36952,sadness,tri blend know suck harm tri
36953,empty,guess r sleepin
36954,neutral,video soon
36955,neutral,new twitter need studi
36956,happiness,happi mother day mark
36957,worry,follow think seen onlin lol
36958,fun,daughter went bday parti today cale quot grace quot cake littl girl name grace amp made cupcak
36959,neutral,thank
36960,happiness,invit sent invit collab pass word around
36961,neutral,home whoott happi mother day madr
36962,neutral,probabl bit short rude word bet time
36963,worry,crap gon na miss grand prix go tri sneak back room
36964,neutral,bacoor wahaha may wifi toink new hair wiih short short
36965,love,mother day spit awesom listen paranoid jona brother
36966,worry,make cousin yacht convent hope get upset hope
36967,neutral,think play michael bubl heaven great
36968,happiness,mornii twitter eat cereal watch blg dvd like everi sunday morn
36969,fun,got kick club bout tri get anoth lmao shot patron haha
36970,love,congratul award total deserv
36971,happiness,would idea haha xx
36972,neutral,yeah definit pillow fight
36973,love,like aasman paar shaayad
36974,love,repeat final second game pleas damn offici anyway happi mother day
36975,neutral,make sens total show girlfriend ask wear high school prom dress
36976,fun,kelli major problem okay alex kelli hahahahahahahaa
36977,worry,fun lol hehe
36978,happiness,weekend go great
36979,love,happi mother day mum
36980,happiness,yaaaaaaay bday
36981,happiness,best cup final today fun
36982,happiness,happi mommi day mom
36983,happiness,yay sunday maid came hous clean
36984,surprise,wan na mifun tomorrow impromptu tweetup
36985,love,hi lisa beauti pup happi mother day raven rio amp thor wonderfur mama kittykiss
36986,happiness,american chocol chees cake chweet mummi muaxxx
36987,relief,sit nice english breakfast meal right
36988,happiness,rubi skye last night well superb set steve last hour load thrillseek materi old new
36989,happiness,vote hope win
36990,worry,still feel tire tink go nap wake durin dinner time
36991,love,oh night love ace
36992,happiness,downtown fun tonight walk back car redicul lol
36993,happiness,sound good hahaha
36994,happiness,hey fan new zealand love show even tho soooo behind episod haha keep good work
36995,empty,quot shake fuck head quot quot much fuck homework quot accord urban dictionari
36996,neutral,feel owe listen new album everyth releas chain sinc nice twitter
36997,enthusiasm,sweet
36998,happiness,good night everyon time go mimmiz
36999,hate,wonder white supremist say abhor racist
37000,love,back cycl mile virtual traffic free road sun almost shine new pb great start day
37001,neutral,cottin emilyyyyyyyy
37002,neutral,sanctuarysunday thank join sanctuarysunday follow sanctuari peopl keep date tweet
37003,neutral,go back
37004,love,wish happi mother day mom
37005,relief,ok go sleep real good night twitter land
37006,neutral,th updat
37007,love,thank hope allergi nasti flu
37008,neutral,know go test
37009,happiness,hi better drink hot tea honey thank pli
37010,neutral,case miss fb statu look maui recommend ye maui
37011,neutral,hahahaha listen itun librari bit sonia dada atm good
37012,love,yeh even imagin good luck
37013,happiness,weekend probabl best still anoth day go
37014,neutral,wand black hawthorn wand core kraken heartstr
37015,worry,go tita gi sister belov lola go treat dinner wohoo excit hungri
37016,worry,wed anniversari meal yest first proper meal wife sinc rohan born well check phone time
37017,worry,happi mother day
37018,neutral,pizza gelato newport hubbi boy
37019,love,mass happi mum day mum
37020,relief,alreadi done wash spring step morn
37021,neutral,pretti janett exact hey monday band arm
37022,happiness,doctor laugh oh patient arkham aslyum work
37023,happiness,happi sunday beauti day london meet chergo breakfast xx
37024,surprise,final count bigger hair peopl
37025,love,fun wish mum happi mother day us
37026,worry,gorgeou check new pic
37027,fun,happi mother day watch snl miss hoot jimmi fallon
37028,worry,bout hit sack got shit tomorrow happi mother day mom
37029,happiness,aaauuuggghhh check mcdonald check haha next hot cheeto
37030,neutral,oh other new york version
37031,happiness,omg buy dvd yeah anoth good movi thank movi buddi
37032,fun,good mornig everon great morn even play theatr lord fli much fun
37033,surprise,pizza arriv driver chang guess that deliv pizza stupid give chang still got pizza
37034,happiness,lumberjack
37035,hate,shut put money mouth that get wake vega
37036,love,happi mother day sweet mum
37037,neutral,eat cup cake
37038,neutral,last night long drive slept realli well time dino wasstraat
37039,love,happi birthday
37040,neutral,wow calm even
37041,love,welcom chica
37042,surprise,middl industri estat pirat ffanci dress readi mile walk
37043,surprise,oh haha thank someth new
37044,worry,need make effort meet best onlin friend like lt damn money cost
37045,neutral,drank sugar milk coffe coffe brain
37046,neutral,seen beauti
37047,love,quot vampir tarot etern night quot scarabeo go releas sometim autumn cool huh
37048,neutral,go shower brb min
37049,surprise,way like year old
37050,happiness,gear babi
37051,happiness,goodnight twitterworld tweet later goodnight
37052,neutral,epic said ss coffe thought meant sit drink lot coffe
37053,happiness,thank slooooow hehe stoke hope good weekend
37054,worry,esther rhyme investor tester jester pester polyest semest sylvest request
37055,happiness,look forward show tonight wait ol mate
37056,worry,sheena othman happi mother day mother world yet experi joy sorri
37057,love,cool look forward
37058,neutral,good morn woke mother day
37059,happiness,wow parti new life awesom girlfriend creat ton drama babe parti way go w
37060,love,happi mother day
37061,hate,yay like ct peopl alway tryna shit never even
37062,surprise,watchin jona
37063,love,awesom that likewith song paranoid stuck head love lol xxxx
37064,fun,listen doubt quot life quot listen lt lt ohh yeahhh thank
37065,happiness,justin timberlak total rock snl tonight ooh happi mother day anoth hallmark mkting tool
37066,love,certainli good morn
37067,happiness,oh wan na bay asap thank great day
37068,empty,great night last night happi mother day everi mother world
37069,relief,drink right hot tea honey
37070,love,love mummi
37071,happiness,pictur tell surround ador children hehe
